name,SSN,sex
BenjaminVoisin,305507977449079865369829344463001118378,男
CamillleClaris,284824297394290319729796206054905902363,女
LilyFranky,88680445411902765100998033112272233672,男
MartinKarmann,192698394796152741565706733099547098956,男
PJ哈維,216748406240279571762011924873072219106,男
丹尼爾奧圖,78896269141623331274778664693156113136,男
丹尼爾雷德克里夫,130181102930159856630062422948580498281,女
亞歷珊卓瑪麗亞羅納,249579171013789012023884111225931302922,男
亞當布洛迪,78505545064279095977644860551982077789,女
亨佛萊鮑嘉,54115871406238710944084713514186168656,男
亨利札加,72042000981011925862254464651205996160,男
休傑克曼,36688135902520461471378428072045552294,男
佐藤健,259187331541038126348756108888818766988,男
佐藤浩市,195077000380703160173167002478921329100,男
佛洛里昂大衛費茲,78774720896948018310037488371757110210,男
傑佛瑞狄恩摩根,118027608012395233516771072600268128851,女
傑瑞米艾倫斯,84372256432113471502872644333161867396,男
克蘭西布朗,141440124247916062441285916818411786347,女
克里斯多福諾蘭,250609433633104368569581655683969224073,女
克里斯普瑞特,40595576005590342232621315672713171610,男
克里斯汀貝爾,127144017951574002902129390210564116850,男
克里斯潘恩,205013351812915618787579814322018448189,女
冰塊酷巴,260525441765352523667088638485629269382,男
凡妮莎寇比,257378530703591299660040912862779002588,男
凱蒂荷姆斯,50727733850473235650852388094927518050,男
凱蒂荷姆絲,162033286814402629526467677252139090093,女
劉亦菲,268883725851878297518706541882734651792,男
千黛亞,321100028989967325967334963859686822331,女
卡蘿杜瓦茲,49164468388325864898343194354877078743,女
卡賴伯蘭里瓊斯,153950714869899277721611881097809149702,男
史考特伊斯威特,295838413050790196992303921595661601671,女
司徒頌曦,279271444882665917680709727826630948087,女
吉澤亮,79256554633769860832060669342338479476,男
吉翁卡列,217378959749409756731507570803335384709,女
吳肇軒,114352335961521410277214101267626984167,女
哈里遜福特,251534632870473390486248999961335782266,男
唐納奧康諾,255494375589624203115403836087313281029,女
喜翔,194294910497564033176195161597598649190,男
喬瑟夫高登李維,260030688466073709844053259873276683042,男
嘉柏莉西迪貝,330275313243927065857526927440396345943,女
坂本龍一,180474506305573539495271559101115059319,女
埃利亞斯穆巴里克,221870939503795229936993169910690423225,女
基努李維,252430593260162151835836776241288160895,女
堤勒帕薩加恭,328112880001430453669452064578090611545,女
堤真一,208919580869809061973062921445043044535,女
夏帆,317518681675366273434428389467752578330,男
奧塔薇亞史班森,35601923848166965682256082302036101213,女
奧蘭多布魯,189634242376153940555768949826265840124,男
妙麗克菲爾德,280804361685271668502112302269184825473,女
妻夫木聰,271673665201508133261221171396403323510,男
威爾法洛,294862547105140644086648905870403639151,女
安東尼霍普金斯,17128304264213095777999059477341091002,男
安海瑟威,20082057277889663643730776219474956228,男
安蒂麥道威爾,5371056523360179521112713489166624675,女
安雅泰勒喬伊,314071241064187446410676623737284882497,女
尊龍,125140021388323703715646201469883946117,女
尤莉亞史托克,79483518905775713844173361702764149309,女
崔西艾莉絲羅斯,249602809382141756345263228835363490185,女
布露亨特,236417398814609875581218055842228322293,女
希斯萊傑,202534589490905190520730805116140644295,女
庫什珍寶,220916099931183927407435809777136359359,女
康妮尼爾森,262750425128093554042159706619400600084,男
廣瀨鈴,299378816373209561138053507239164484135,女
彼得塞斯嘉,189795557998413376944702715477713219921,女
彼得漢德克,79146714957633583188381587440055836313,女
拉維派特,135965155808852323314696102225896253181,女
摩根費里曼,178223405745594680997697819326824411206,男
曾珮瑜,79043008514728402241879574845758891020,男
李連杰,300041200029641361249625875587107553792,男
林依晨,68392806099661383474144192985071585082,男
林嘉欣,258506833768645147821410877091485830901,女
林禹緒,141943841849402211398650633473529234154,男
查理希頓,44032883208305256707704310813787937656,男
柯震東,332193526918504896374682661804028076148,男
柴克艾弗隆,191806072611223191495573122319604257221,女
格蘭羅森邁爾,178384462505047376294512265712900067770,男
梅婷,203539373455281735085449310807664305623,女
楊懿軒,14080926911524405557248947144461797351,女
比爾法格巴克,240629845644346273797441032173404508233,女
沛派琳丹拉帕彭,316592243423920370646768607096799575123,女
波伊頌娜琳,20046295377201963537623240051617359673,女
派屈克史都華,284627749736524010832333201532586546040,男
海納勞特巴赫,25713886368242616600482314175443520602,男
渡邊謙,260008062520758290814261514292107920681,女
湯姆哈迪,300852869195492067724520136250371163968,男
湯姆希林,46948590270313346486317997641933929812,男
湯姆肯尼,48387777761360275118010630152797841673,女
湯姆霍蘭德,136048182161710412087258063079019514706,男
琳雪伊,183324453731479476201546522407872370727,女
瑪罕納西里,109575715759654479367122999453472223870,男
瑪莉希維耶,279763661435166466874246134940565439089,女
瑪莉詠柯蒂亞,194238205003794156882849308545987481884,男
甄子丹,110694472165388538585439166394406185362,男
米蘭妲奧圖,243930729191140303994115462411005025792,男
米高肯恩,260294427304894971566763866808546858645,女
約翰大衛華盛頓,252645244057433791332241017503848789392,男
羅伯派汀森,227082043168330091346632330002165841001,女
芬姬詹森,172005298266948309094801736944455093698,男
英格麗褒曼,149093587916688625500589199896324326612,男
茱蒂福斯特,129194657387276324915153706479594258981,女
茱麗葉畢諾許,27682337014930269273549421747609433733,女
莫蓮娜芭卡琳,141235059100468692270221468554989782539,女
萊恩雷諾斯,28852024827361005201299843464370792085,女
