name,SSN,Sex
LilyFranky,407-43-3675,男
丹尼爾奧圖,379-60-7796,男
亞歷珊卓瑪麗亞羅納,334-60-6477,男
亞當布洛迪,071-98-1844,女
亨佛萊鮑嘉,400-16-5440,男
亨利札加,148-19-0150,女
伊凡甘,508-10-6386,男
休傑克曼,473-42-0091,女
佐藤健,427-24-6255,男
佛洛里昂大衛費茲,142-30-3387,女
佩拉卡斯楚,722-01-3124,男
傑哈德．巴狄厄,516-76-2925,男
傑瑞米艾倫斯,294-42-0157,女
克莉絲汀薇格,295-28-6289,男
克蘭西布朗,531-46-8143,男
克里斯多福諾蘭,345-42-3767,男
克里斯普瑞特,214-43-8357,男
克里斯汀貝爾,451-92-2568,男
克里斯潘恩,220-76-4060,男
凱蒂荷姆絲,056-58-6379,女
劉亦菲,447-90-1933,女
司徒頌曦,238-69-6383,女
吉澤亮,714-14-0694,女
吉翁卡列,435-59-1827,男
吳倩蓮,668-20-0699,女
喜翔,540-25-4019,女
喬瑟夫高登李維,386-11-2628,男
喬許歐康納,304-30-4131,男
嘉柏莉西迪貝,316-19-3671,男
坂本龍一,101-34-8842,男
埃利亞斯穆巴里克,020-62-1316,女
基努李維,430-26-2783,男
堤真一,552-31-1486,男
奧塔薇亞史班森,540-01-8293,女
妙麗克菲爾德,272-04-2176,女
妻夫木聰,580-09-2045,男
威爾法洛,455-52-8612,女
安妮特班寧,028-40-2009,男
安娜伊・德慕絲提,445-12-9518,男
安娜吉拉朵,198-10-7377,男
安海瑟威,641-19-1527,女
安蒂麥道威爾,503-17-7362,女
安雅泰勒喬伊,544-24-4672,女
寶拉德爾里奧,196-46-9400,女
尊龍,213-86-1439,男
尚皮耶・達胡桑,414-83-4659,女
布露亨特,303-01-0056,男
希斯萊傑,319-44-7883,男
康妮尼爾森,430-26-2783,男
廣瀨鈴,202-74-6180,男
張國榮,250-02-6974,女
愛莉安・艾絲柯莉德,508-46-1844,男
托比華勒斯,595-11-1636,女
拉維派特,723-05-9465,女
摩根費里曼,075-12-1994,男
李連杰,441-24-8790,男
松田龍平,510-96-1959,女
林禹緒,375-01-9813,男
林青霞,043-04-8025,女
柄本佑,140-70-1623,男
染谷將太,312-88-3728,男
查理希頓,227-89-3836,女
格蘭羅森邁爾,167-30-4493,男
比爾奈伊,171-80-1753,男
比爾法格巴克,112-28-4757,男
沛派琳丹拉帕彭,166-86-5071,女
法蘭斯席維爾,238-01-8327,男
海納勞特巴赫,455-29-8679,女
海莉班奈特,224-02-8137,女
湯姆哈迪,211-50-7697,女
湯姆希林,417-56-0550,女
湯姆肯尼,463-22-7988,男
湯姆霍蘭德,522-30-0568,男
潔絲娜佛里茲鲍爾,040-04-6991,女
潔西卡雀絲坦,459-89-1804,男
班曼德森,324-52-4371,男
琳雪伊,206-28-7658,女
瑪莉詠柯蒂亞,232-27-3207,男
甄子丹,166-44-8676,男
石橋靜河,533-33-8826,男
米格爾安吉拉詹納,103-88-5750,男
米蘭妲奧圖,530-24-7488,男
米高肯恩,592-65-5392,男
約翰大衛華盛頓,073-07-5731,男
綾野剛,543-01-3791,男
羅伯派汀森,604-76-0199,男
羅菲史波,542-02-2074,男
艾絲戴維斯,059-62-1179,女
艾莉森珍妮,506-06-3881,男
艾莉莎斯坎倫,018-50-3611,女
艾那斯多艾戴理歐,404-13-2615,男
英格麗褒曼,331-06-9269,男
茱麗葉畢諾許,092-84-6913,男
莫里茲布雷多,532-50-3047,女
蓋兒加朵,120-66-7581,女
蓋瑞歐德曼,254-09-4520,女
薩瑪拉薇文,150-58-4238,男
蘇瑞吉．沙瑪,395-96-6747,男
蘭妲米契爾,315-09-5582,女
詹姆斯艾利森,313-62-9524,男
貝吉特米妮克美爾,045-64-7115,男
賽巴斯汀史坦,527-38-1849,男
路易托薩,483-82-2846,女
連恩尼遜,044-44-4925,男
道格瑞史考特,240-96-4551,女
陳沖,180-44-9129,男
陳莘太,428-05-1442,男
露易莎沃蕾許,519-51-9279,男
鞏俐,012-90-7214,男
馬克歐布萊恩,064-68-5149,男
馬力歐莫瑞爾,459-20-1654,男
麥特戴蒙,561-95-9673,男
麥茜威廉士,729-22-1593,男
